Name,Description
AuroraAI - Ministry of Finance,"During 2021, starter kits for deploying the AuroraAI network's core components for service providers will be published as well as a package of various services connected to the network. The starter kit will allow the first service providers to connect their services to the AuroraAI network.
Responsibility for developing the reference implementations of the AuroraAI network interfaces has been assigned to DigiFinland Oy, which is a state-owned special task company. AuroraAI chatbot and the How am I? service will be piloted in the daily life of higher comprehensive school pupils in 2021."
Chaos - Analysis of multiple data sources to forecast property market performance,"CHAOS analyses multiple data sources to forecast property market performance. Using Artificial Intelligence, we provide our customers with actionable insights Chaos is being used in various Finnish cities, such as in Helsinki, Skanska and others.  "
Auwi SaaS - Real-time AI-run analysis from millions of message ,Aiwo SaaS service offers a real-time and unbiased AI-run analysis from millions of messages to clear dashboards and actionable findings. The Finnish Ministry for Foreign Affairs of Finland uses the AiWo Digital platform to analysis Coronavirus discussions on twitter
Predicting Heat Energy Consumption,"The AI solution predicts energy consumption levels based on historical data and local weather forecasts, reducing errors between the forecast and actual heat demand by a third It is used in Helen, a Finnish energy production company. "
Sewage - Improving Sewage Pipe Network predicting sewer blockages,"The AI solution predicts possible blockages in Helsinki Region Environmental Services Authority HSY’s sewage network, spanning over 3000 kilometers. With the intelligent solution, HSY is able to prevent one third of blockages on an annual basis as sewer cleaning can be targeted on blockage-prone drain ranges suggested by the AI solution. The solution is used in Helsinki Region Environmental Services Authority. The experience showed that the AI is able to predict blockages efficiently, and up to a third of the blockages could be avoided. "
Automatic identification of individual risk factors in social care and healthcare ,"In October 2019, the Japanese multinational IT service provider, Fujitsu, announced that it was developing an AI solution for South Karelia’s social care and healthcare district (known by its Finnish acronym Eksote). The project employs machine learning methods with the aim of helping Eksote identify factors underlying social exclusion of young adults, as well as predicting associated risks. With the predictive model, social and healthcare professionals will be provided an overview of risk factors. According to Fujitsu’s press release, the model identifies some 90% of young adults susceptible to social exclusion. In practical terms, the model that is being used is derived from pseudonymized data taken from the use of Eksote’s services by young adults, and it uses this data to predict social exclusion outcomes defined by Eksote’s professionals. According to Eksote, the legislation on the secondary and combined use of healthcare data makes it possible to use only non-identifiable, pseudonymized data. This means that Fujitsu’s model cannot be used to identify individual young adults considered to be at risk of social exclusion; rather, the model produces a list of risk factors on a general level. The next step in the project is to examine whether it is possible, under the current legislation, to set up a consent-based system: a client’s consent would be asked for before using the predictive model on their individual data when they, for example, have an appointment with a social care or healthcare professional. "
Predicting youth problems - Identifying youth problems and providing support ," In June 2018, Eksote announced that it had developed, in collaboration with the Finnish IT firm, Avaintec, an AI model to predict problems experienced by children and the youth. The aim was to identify problems early on, so that an intervention could be made and support provided to families sooner rather than later. Much like in the 2019 project on young adults and social exclusion, this model was based on explicitly defined undesired “endpoints”: low-grade averages, disciplinary interventions at school, high-class non-attendance figures, being taken into custody, acceptance into psychiatric care, and substance abuse. The model made use of data gathered from the IT systems of maternity clinics, kindergartens, schools, healthcare, and mental healthcare providers, as well as social services – e.g., it combined data from different administrative branches, namely social care, healthcare, and education. The outcome was the identification of a total of 1340 risk factors, ranging from bad teeth in children, to parents missing maternity clinic appointments, to the child’s siblings bullying others at school. These examples also give an idea of the kinds of data that were employed when making predictions. Ideally, the model would make it possible to continuously keep track of risk factors of individual children."
State Treasury eInvoicing plans,"The State Treasury of Finland plans to automate eInvoice processing by utilising AI and robotics. It is believed that AI tools could analyse an invoice within seconds to find the necessary information such as an agreement number and amount. Currently, Finland has identified the most significant challenge to be that IT companies and other operators need to be aware of what data needs to be in the correct place to achieve ultimate automation goals."
"Hansel Oy, Explore state spending","The ""explore state spending"" website (https://tutkihankintoja.fi/?lang=en) allows citizens and companies to explore data on government spending. Users can search according to different types of procurement spending (e.g. ICT procurement, administrative services, machinery, equipment and transport equipment, etc). AI technology is used in order to categorise the procurement spending. Other forms of analysis using AI technologies are also done on the data for the benefit just of procurement authorities."
"Hansel Oy, eNest solution","Under the new eNest solution, verification of information provided by suppliers against official records will be done automatically during the tendering process. The system will use the European Single Procurement Document as a standard, which will mean that service providers do not need to attach official records to tenders."
"Palkeet, RPA Project",The Finnish Government Shared Services Centre for Finance and HR (Palkeet) have delivered a project aimed at automating business processes with software robotics. Tasks that have been automated include purchase invoice validation and supplier register maintenance etc. This was the first major Robotic Process Automation (RPA) implementation in Finnish public sector. The project is part of a wider digitalisation initiative by the Finnish government.
Parking chatbot,"The parking chatbot is a customer service channel of city's parking services. Service provides automated answers to the parking-related questions of city residents and visitors. The service is available at the city parking website of Helsinki. The service aims to improve the availability and the user experience of digital parking support services and to increase the interactivity of the parking self-service. The service speeds up finding the right information to customerâ€™s specific questions in comparison to searching the information from the websites. The service is also a means to explore and try out the potential of new technologies in parking services. The service utilises natural language analysis to identify customerâ€™s topic of interest-based on the search terms or phrases entered to the service. The service responds based on the trained rule-based discussion paths, and the open data connected to it, in accordance with the customerâ€™s interest and consents to location information."
Health center chatbot,"The chatbot provides health and illness-related advice easily without queuing. Chatbot directs the users to the right digital health services and advises on questions related to dental, mental health, substance abuse and social services. The service answers the most frequently asked questions and direct to the sources of reliable information based on usersâ€™ needs. The chatbot is integrated with other digital services of health centres. Through it, customers may be directed to, for example, the cityâ€™s digital services, Omaolo, Omakanta or social counselling chat. The service enables transactions around the clock anonymously and securely. All health centers use the service in Helsinki, and it covers all services of the health centers. The clinical guidance of the service is based on national practices of evidence-based treatments, the Current Care guidelines and the emergency care evaluation criteria. The service utilises natural language processing based Artificial Intelligence to analyse the searches entered by the customer and to identify the intended service need, as well as to find the respective instructions. The service expands the accessibility of health center services by enabling remote transactions around the clock. The service enhances the customer experience of digital services for health centers by providing a single channel for all digital services. The service streamlines the service production of health centers by automating the service on the frequently asked questions and by the automated collection of background information. The service also has positive effects on harmonising the quality of the service and on improving the employee experience of counselling services."
Oodi's book recommendation service Obotti,"Obotti is Central Library Oodis recommendation chatbot. The service recommends books from Oodis selection according to the customers interest and feedback. The service is aimed at all Central Library Oodis customers and can be downloaded as a mobile application for Android and IoS devices. The service recommends books to the customer based on contextual analysis that the customer would not otherwise find. The purpose of the service is to present the material available in Oodi library to customers interestingly and to make it easier for customers to find interesting and new material. The recommended materials are freely available in the selections of the Central Library Oodi at the time of the recommendation. The service is divided thematically into six chatbots, each recommending content according to their theme. You can ask the service for recommendations using ready-made answer options, or in free search terms in the form of text or speech. The service utilises contextual analysis of natural language to determine the customerâ€™s interests, as well as to produce corresponding book recommendations."
Sohjoa - Baltic Sea Region transitioning into eco-friendly autonomous last mile public transport,"Sohjoa Baltic brings autonomous small buses to drive demo routes in six Baltic Sea region cities. While driving, an autonomous bus scans its surroundings in order to slow down or stop completely if there is an obstacle on its way. However, during the pilots there is always an operator onboard, just like there used to be one inside a lift when they were introduced."
HELSINKI Robot Buses,"The pilot route 90R has attracted the curious passengers with over 2000 visitors taking a ride in less than three months. Entirely driverless robot bus is not here yet. The current trials use still human labor inside the shuttle, ensuring everything runs smoothly and safely. If the steward would to be taken out of the shuttle, the robot buses should be remotely operated, similar to the air traffic control. One out of three of the Aurinkolahti survey respondants estimated they could use a robot bus without human personnel inside the shuttle."
Finland Migration Service Chatbot,"The Finnish Immigration Service has now introduced its new chatbot, Kamu. During the pilot stage, Kamu will answer frequently asked questions about processing times for applications and about the contact details of the Finnish Immigration Service. Kamu is available on all pages on the migri.fi website. You can ask questions in either English or Finnish."
Helsinki trials AI and automation as part of its drive to digital services,"Earlier this year it completed its second campaign of “agile trials” in the City’s Experimentation Accelerator, which tested 10 ideas submitted by city employees for the use of AI and automation. The City’s latest trials focusing on AI and robotic process automation sought answers to a variety of questions, such as the following: can AI help with the management of employment?
can AI benefit work shift planning?
can AI help gain a more realistic and accurate situational picture of traffic emissions in Helsinki?
can AI help with the analysis of performance reviews to enable the development needs of employees to be supported better than before?
can robotic process automation be used to facilitate the quality monitoring of student information?
can a chatbot guide and advise business travellers?
what is the benefit of a neural network-based AI identifying signatures in PDF documents?
“The trials have also confirmed that it is often not necessary to replace an entire work phase with a robot. In many cases, robot assistance is enough,” said project manager Ville Meloni."
